"year","cod_per_set","cod_se","cod_95percent_LCI","cod_95percent_UCI"
"2006",183.49,53.1,105.55,335.22
"2007",11.99,4.39,5.97,25.69
"2008",46.6,15.29,24.07,92.88
"2009",36.49,18.07,11.82,98.57
"2010",17.83,8.65,5.76,46.9
"2011",44.05,16.57,21.08,94.74
"2012",314.22,105.78,163.18,628.31
"2013",10.09,3.83,4.57,21.64
"2014",12.69,6.19,4.14,33.98
"2015",1.31,1.18,0.17,10.17
"2016",3.12,1.47,1.26,8.76
"2017",113.33,34.02,63.37,209.02
"2018",120.81,26.76,77.37,192.15
"2019",3.24,1.71,0.92,8.66
"2020",217.61,60.04,128.05,385
"2021",26.99,7.01,16.23,47
"2022",132.34,34.41,79.53,233.73
"2023",37.09,9.64,22.13,63.65
"2024",42.06,10.4,25.67,71.23
"2025",39.91,11.4,22.31,71.86
"2026",271.42,74.48,159.69,476.09
