Date,Station,Site,Bay,subsample,Time,Temp.C,Salinity,lat.deg,lat.min,long.deg,long.min,lat,long,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time,percent.DO
6/13/2025,614,Laminaria South,Cook,no,8:42,8.8,31.5,57,46.203,152,16.618,57.7701,152.277,yes,.,y,y,n,y,y,10:19,137.4
6/13/2025,615,Eelgrass South,Cook,yes,9:31,8.9,31.5,57,46.123,152,16.446,57.7687,152.2741,yes,.,n,y,n,n,y,10:19,152.4
6/13/2025,616,Eelgrass West,Cook,no,10:50,10.6,31.5,57,46.765,152,15.8142,57.7794,152.2636,yes,.,y,y,n,n,y,10:19,155.3
6/13/2025,617,Laminaria East,Cook,no,11:54,9.1,31.7,57,46.488,152,15.4136,57.7748,152.2569,yes,.,y,n,y,y,n,10:19,133
6/28/2025,618,Kilu-1,Kiliuda,no,9:31,11.1,30.3,57,19.2878,152,54.1193,57.3215,152.902,yes,.,n,y,n,n,y,11:03,116.7
6/28/2025,619,Kilu-3,Kiliuda,no,10:06,11.3,30.6,57,19.5112,152,54.3398,57.3252,152.9057,yes,.,y,y,y,n,y,11:03,111.9
6/28/2025,620,Kiul-4,Kiliuda,no,10:48,10.7,31,57,19.6533,152,53.8846,57.3276,152.8981,yes,.,n,n,y,y,y,11:03,113.6
6/28/2025,621,Kilu-6,Kiliuda,no,11:17,10,31.4,57,19.3342,152,56.7665,57.3222,152.9461,yes,.,n,y,n,y,y,11:03,122.7
6/28/2025,622,Kilu-5,Kiliuda,no,11:49,10,31.5,57,19.3514,152,54.6086,57.3225,152.9101,yes,.,n,y,n,y,y,11:03,129.7
6/28/2025,623,Kilu-2,Kiliuda,no,12:39,11.9,30.3,57,19.3929,152,53.9696,57.3232,152.8995,yes,.,y,y,y,y,y,11:03,125.8
6/30/2025,624,Kai-3,Kaiugnak,yes,10:40,13,29.4,57,3.2164,153,39.156,57.0536,153.6526,yes,.,n,y,n,y,y,12:21,117.9
6/30/2025,625,Kai-6,Kaiugnak,yes,11:13,13.2,29.7,57,3.3499,153,39.0228,57.0558,153.6504,yes,.,y,y,y,y,n,12:21,121.3
6/30/2025,626,Kai-7,Kaiugnak,no,11:49,12.9,27.9,57,3.4259,153,38.0869,57.0571,153.6348,yes,.,n,y,n,y,y,12:21,118.3
6/30/2025,627,Kai-4,Kaiugnak,no,12:40,13.4,28.4,57,4.2434,153,40.4828,57.0707,153.6747,yes,.,y,y,n,y,y,12:21,120.3
6/30/2025,628,Kai-1,Kaiugnak,no,13:15,14.6,29.4,57,3.6394,153,42.3317,57.0607,153.7055,yes,.,n,y,y,y,y,12:21,129
6/30/2025,629,Kai-2,Kaiugnak,no,14:05,14.6,29.3,57,3.4346,153,42.1833,57.0572,153.7031,yes,.,y,y,n,y,y,12:21,138.1
7/1/2025,630,Jap-5,Japanese,no,11:16,14.1,26.5,56,58.0654,153,40.9287,56.9678,153.6821,yes,.,n,y,y,n,y,12:59,105.9
7/1/2025,631,Jap-1,Japanese,no,11:53,12.4,30.4,56,57.1886,153,41.1188,56.9531,153.6853,yes,.,n,y,y,n,y,12:59,119.2
7/1/2025,632,Jap-6,Japanese,no,12:27,12.6,29.8,56,57.1596,153,40.756,56.9527,153.6793,yes,.,y,y,y,y,y,12:59,117.2
7/1/2025,633,Jap-2,Japanese,no,13:01,12,30.2,56,56.887,153,40.887,56.9481,153.6815,yes,.,y,n,n,y,y,12:59,114.6
7/1/2025,634,Jap-7,Japanese,no,13:29,11.9,30.3,56,56.7621,153,41.0346,56.946,153.6839,yes,.,y,y,n,n,y,12:59,116.8
7/1/2025,635,Jap-3,Japanese,no,14:02,12.9,28.7,56,57.0601,153,41.1028,56.951,153.685,yes,.,n,y,n,n,y,12:59,113.8
7/1/2025,636,Jap-4,Japanese,no,14:34,13.2,28.6,56,57.5433,153,41.4072,56.9591,153.6901,yes,.,n,y,y,y,y,12:59,110.8
7/6/2025,637,Bar-4,Baralof,no,6:37,9.3,28.9,55,13.7571,160,33.101,55.2293,160.5517,yes,.,y,n,y,y,y,6:47,104.9
7/6/2025,638,Bar-5,Baralof,no,7:26,9.1,29.1,55,13.8202,160,32.907,55.2303,160.5485,yes,.,y,n,y,y,y,6:47,105.2
7/6/2025,639,Bar-3,Baralof,no,7:53,9.6,30.6,55,13.752,160,33.7354,55.2292,160.5623,yes,.,y,n,n,y,y,6:47,110.1
7/6/2025,640,Bar-2,Baralof,no,8:21,9.4,30.5,55,13.7578,160,33.8781,55.2293,160.5646,yes,.,y,n,y,y,y,6:47,99.8
7/6/2025,641,Bar-1,Baralof,no,8:49,9.4,30.8,55,13.8527,160,34.1046,55.2309,160.5684,yes,sand,n,y,y,n,n,6:47,105.7
7/7/2025,642,Sand-2,Sand Point,no,8:50,9.5,30.6,55,19.2048,160,31.4583,55.3201,160.5243,yes,sea urchins,y,n,y,y,n,7:32,100.2
7/7/2025,643,Sand-3,Sand Point,no,9:18,10,30.7,55,19.2219,160,31.2113,55.3204,160.5202,yes,.,y,y,y,n,n,7:32,111.5
7/8/2025,644,BB-2,Balboa,no,7:41,10.5,28.2,55,34.6938,160,35.7225,55.5782,160.5954,yes,.,n,y,n,y,n,8:13,102.2
7/8/2025,645,BB-3,Balboa,no,8:21,10.7,28.7,55,34.6601,160,35.88,55.5777,160.598,yes,.,n,y,n,y,y,8:13,109.6
7/8/2025,646,BB-4,Balboa,no,8:57,10.5,28.4,55,34.6539,160,36.8332,55.5776,160.6139,yes,.,y,n,n,y,y,8:13,110.1
7/8/2025,647,BB-7,Balboa,no,9:33,11.2,25.4,55,35.08,160,36.8711,55.5847,160.6145,yes,.,y,y,n,y,y,8:13,123.6
7/10/2025,648,Fal-5,Falmouth,no,8:58,10.5,30,55,4.1292,160,7.767,55.0688,160.1295,yes,.,y,y,n,y,n,9:26,107.6
7/10/2025,649,Fal-1,Falmouth,no,9:22,10.5,29.1,55,4.0105,160,7.5976,55.0668,160.1266,yes,.,y,y,y,y,n,9:26,109
7/10/2025,650,Fal-3,Falmouth,no,9:51,10.6,28.4,55,4.1126,160,6.7584,55.0685,160.1126,yes,.,y,y,n,y,n,9:26,115.6
7/10/2025,651,Fal-4,Falmouth,no,10:15,10.7,28.2,55,4.1713,160,6.8343,55.0695,160.1139,yes,.,y,y,n,y,n,9:26,117
7/10/2025,652,Fal-2,Falmouth,no,10:43,10.7,28.6,55,3.8207,160,7.0176,55.0637,160.117,yes,sand,n,n,y,n,n,9:26,110.6
7/13/2025,653,RR-4,Rodman Reach,no,9:52,11.7,30.2,56,52.6842,154,15.5413,56.8781,154.259,yes,.,y,y,y,y,n,10:35,106.1
7/13/2025,654,RR-3,Rodman Reach,no,10:37,11.5,30.5,56,52.7119,154,14.7845,56.8785,154.2464,yes,.,y,y,n,y,y,10:35,104
7/13/2025,655,RR-1,Rodman Reach,no,11:25,11.5,29.9,56,52.9546,154,15.2596,56.8826,154.2543,yes,.,n,n,n,y,y,10:35,110.2
